estimator,feature_engineer,loss,accuracy,cost_time,best_iterations,budget
tabular_nn,select.boruta,0.238305,0.7616945996275606,22.8222,"[0, 0, 0, 0, 0]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,23.7153,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,7.9037,"[16, 16, 16, 16, 16]",1
tabular_nn,operate.keep_going,0.238305,0.7616945996275606,6.32335,"[0, 0, 0, 0, 0]",1
tabular_nn,select.boruta,0.238305,0.7616945996275606,20.2596,"[0, 0, 0, 0, 0]",1
tabular_nn,select.boruta,0.238305,0.7616945996275606,25.5284,"[1, 1, 3, 0, 1]",1
extra_trees,select.boruta,0.238305,0.7616945996275606,8.67217,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,19.5437,"[16, 16, 16, 16, 16]",1
tabular_nn,operate.keep_going,0.238305,0.7616945996275606,2.24822,"[0, 0, 0, 0, 0]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,17.7953,"[0, 0, 0, 0, 0]",1
tabular_nn,operate.keep_going,0.238305,0.7616945996275606,23.6065,"[1, 6, 2, 3, 2]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,19.9071,"[2, 20, 2, 1, 1]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,10.6044,"[16, 16, 16, 16, 16]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,11.8983,"[0, 0, 0, 0, 0]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,10.1001,"[16, 16, 16, 16, 16]",1
extra_trees,operate.keep_going,0.238305,0.7616945996275606,7.01853,"[16, 16, 16, 16, 16]",1
extra_trees,select.boruta,0.238305,0.7616945996275606,23.3049,"[16, 16, 16, 16, 16]",1
tabular_nn,generate.autofeat,0.238305,0.7616945996275606,6.64256,"[4, 1, 2, 1, 1]",1
logistic_regression,generate.autofeat,0.241633,0.7583674736188702,27.0539,"[144, 16, 16, 16, 16]",1
logistic_regression,select.boruta,0.244972,0.7550279329608938,6.38588,"[32, 16, 48, 16, 16]",1
logistic_regression,generate.autofeat,0.244972,0.7550279329608939,9.46258,"[64, 16, 16, 16, 16]",1
logistic_regression,generate.autofeat,0.244972,0.7550279329608939,8.65289,"[64, 16, 16, 16, 16]",1
logistic_regression,operate.keep_going,0.247169,0.7528305400372439,28.7246,"[80, 128, 144, 240, 208]",1
tabular_nn,operate.keep_going,0.248231,0.7517690875232775,9.25647,"[70, 37, 43, 86, 44]",1
logistic_regression,generate.autofeat,0.249398,0.7506021104903787,13.5953,"[96, 128, 176, 80, 112]",1
tabular_nn,generate.autofeat,0.255022,0.7449782743637492,33.7276,"[71, 107, 69, 97, 87]",1
tabular_nn,generate.autofeat,0.256083,0.7439168218497828,26.643,"[31, 41, 41, 54, 31]",1
logistic_regression,generate.autofeat,0.263991,0.7360086902545003,30.8017,"[112, 48, 176, 80, 288]",1
logistic_regression,generate.autofeat,0.266226,0.733774053382992,23.0234,"[112, 48, 176, 80, 224]",1
logistic_regression,select.boruta,0.269503,0.7304965859714463,18.2606,"[96, 160, 96, 80, 192]",1
logistic_regression,generate.autofeat,0.281701,0.7182991930477963,41.8865,"[160, 336, 224, 272, 224]",1
tabular_nn,generate.autofeat,0.282793,0.7172067039106145,5.38093,"[1, 35, 7, 102, 7]",1
tabular_nn,select.boruta,0.289522,0.7104779639975171,8.70385,"[79, 84, 52, 39, 73]",1
tabular_nn,generate.autofeat,0.29851,0.701489757914339,14.1583,"[43, 70, 91, 74, 62]",1
tabular_nn,select.boruta,0.304972,0.6950279329608938,4.58306,"[0, 0, 12, 0, 0]",1
tabular_nn,select.boruta,0.314109,0.6858907510862818,22.778,"[105, 29, 61, 25, 63]",1
tabular_nn,generate.autofeat,0.316102,0.6838981998758535,10.3242,"[45, 18, 36, 69, 53]",1
logistic_regression,operate.keep_going,0.316207,0.6837926753569212,7.29952,"[80, 48, 112, 16, 48]",1
tabular_nn,generate.autofeat,0.319628,0.6803724394785847,39.1379,"[28, 47, 60, 32, 75]",1
tabular_nn,select.boruta,0.32193,0.6780695220360025,24.7269,"[0, 58, 40, 9, 0]",1
logistic_regression,select.boruta,0.329572,0.6704283054003725,7.14216,"[112, 48, 16, 32, 96]",1
tabular_nn,select.boruta,0.329578,0.6704220980757294,26.0288,"[38, 9, 39, 39, 0]",1
tabular_nn,operate.keep_going,0.333935,0.666064556176288,26.6904,"[11, 103, 18, 87, 13]",1
tabular_nn,operate.keep_going,0.335127,0.6648727498448169,14.1451,"[128, 55, 50, 128, 64]",1
tabular_nn,operate.keep_going,0.33748,0.66252017380509,25.8334,"[47, 9, 51, 34, 20]",1
tabular_nn,select.boruta,0.34293,0.6570701427684668,15.3238,"[50, 48, 35, 81, 71]",1
logistic_regression,operate.keep_going,0.348504,0.651495965238982,27.5581,"[80, 112, 80, 192, 160]",1
tabular_nn,generate.autofeat,0.354122,0.6458783364369955,19.5748,"[59, 11, 9, 11, 13]",1
tabular_nn,operate.keep_going,0.356276,0.6437243947858473,21.2683,"[50, 11, 45, 42, 42]",1
tabular_nn,select.boruta,0.35851,0.641489757914339,5.09478,"[23, 13, 14, 28, 17]",1
tabular_nn,generate.autofeat,0.359628,0.6403724394785848,9.71648,"[35, 28, 12, 50, 33]",1
tabular_nn,select.boruta,0.360745,0.6392551210428306,5.93583,"[29, 28, 32, 47, 34]",1
logistic_regression,operate.keep_going,0.374115,0.6258845437616387,5.75333,"[96, 32, 112, 192, 80]",1
